,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Gym for Sale - Beruwala,18 Jul  1:20 pm,"Beruwala, Kalutara","3,500,000","The Equipment and Space is in Good ConditionThe Rent Will be taken monthly for the space.( Contact me for further details)And the amount displayed here is for the gym equipment.Feel Free to Come to Massala, Beruwala to check out the premises and equipment.",Other,"Massala, Beruwala","1,200 sqft"
2,"['Gym for Sale - Beruwala', '18 Jul  1:20 pm', 'Beruwala, Kalutara', '3,500,000', 'The Equipment and Space is in Good ConditionThe Rent Will be taken monthly for the space.( Contact me for further details)And the amount displayed here is for the gym equipment.Feel Free to Come to Massala, Beruwala to check out the premises and equipment.', 'Other', 'Massala, Beruwala', '1,200 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Shop for Sale in Panadura Town,25 Jul  2:32 pm,"Panadura, Kalutara","10,000,000",Two storyed shop with land for sale.Shop is situated in Panadura market roadImmediate sale ,Building,No. 240 Main Street Panadura,"1,300 sqft"
4,අනාගත ආයෝජනට සුදුසු ඉඩමක් | Boralugoda,24 Jul 12:01 pm,"Horana, Kalutara","24,200,000","බොරළුගොඩ ආයෝජන කලාපයට ආසන්නව , පානදුර රත්නපුර ප්‍රධාන බස් මාර්ගය මූණත පිහිටා ඇති ව්‍යාපාරයකට කදිම පර්චස් 44ක ඉඩමක් විකිණීමට...පර්චසයක් 550,000/-ඉඩම වටා තාප්පය සහිතයිවැඩි විස්තර සඳහා අමතන්න",Other,Boralugoda,44 sqft
5,Building For Sale | Piliyandala Moragahahena Rd,23 Jul  1:17 pm,"Horana, Kalutara","8,800,000",පිළියන්දල මොරගහහේන ප්‍රධාන පාරට මායිම්වූ පර්චස් 7.5ක පිහිටා ඇති ඕනෑම ව්‍යාපාරයකට සුදුසු දෙමහල් වානිජ ගොඩනැගිල්ල විකිණීමට...තුන්වන මහලට කණු ඔසවා ඇත.විස්තර සඳහා අමතන්න,Building,Piliyandala Moragahahena Rd,"2,000 sqft"
6,Workshop For Sale in Panadura,23 Jul  9:49 am,"Panadura, Kalutara","5,700,000","# පානදුර අරුග්ගොඩ හොරණ පාරෙ සිට මි 700 දුරින් # ගබඩාවකට, ගරාජයට හෝ කර්මාන්තශලාවකට ඉතා සුදුසු work shop එක# office room එක, bathroom සහ සේවක වැසිකිලිය # කාමර එකක නිවසක් ද  සමග# වටේටම තාප්පය ගසා ඇත # පොලව සම්පූර්න කොන්ක්‍රිට් කර ඇත# ජල විදුලිය # ලක්ෂ 57",Factory / Workshop,"ඇරුග්ගොඩ, පානදුර","4,500 sqft"
7,Commercial Property & 9 P Panadura,21 Jul 12:39 am,"Panadura, Kalutara","27,500,000","Facing Old Galle Rd, Panadura9p Land3 story BuildingSuitable for Business/school, warehouse3000 SQFT",Building,FACING OLD GALLE ROAD PANADURA,"3,000 sqft"
8,Building For Sale In Kaluthara Beruwala,20 Jul 12:19 pm,"Beruwala, Kalutara","150,000,000","* In Front Of Galle Road* Suit for Hotels, Guest House, Wedding Hall, Company* Large Parking Area* Now Using For Wedding/ party Functions * 2 Large Halls* Kitchen Area available ",Other,"380/1, Hettimulla Junction, Galle Road, Beruwala","6,500 sqft"
9,Luxury Villa for Sale - Beruwala,19 Jul 11:42 pm,"Beruwala, Kalutara","2,000,000",beach facing land with villa  for sale perches 280 per perch 20 laksh suitable for hotels  immediately sale please no brokers,Hotel,maradana road beruwala,"6,000 sqft"
10,Stores in Dodangoda Kalutara,19 Jul 10:27 pm,"Kalutara, Kalutara","2,350,000","කළුතර ගබඩා පහසුකම් සහිත ඉඩමක් විකිණීමට✔ වර්ග අඩි 1000✔ මතුගම ප්‍රධාන පාරට 800m✔ විදුලිය    ✔ ජලය✔ ගබඩා හෝ අමතර පංති සඳහා සුදුසුයි.✔ වැඩි විස්තර සඳහා අමතන්න. 📱 ☎️Stores in  Kalutara Dodangoda✔ 1000 sqft✔ 800m to Matugama main road✔ Electricity    ✔ Water✔ Suitable for stores or classes✔ Clear deed✔ Kalutara, Land, Building, Stores✔ Storage, Class, House, Hall✔ Contact for more details 📱 ☎️🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌🚌😁😁😁😁ඔබගේ දැන්වීම ගුණාත්මක භාවයෙන් යුක්තව ikman.lk වෙබ් අඩවියෙහිපල කරවා ගැනීමට අප සමග සම්බන්ධ වන්න.- විශ්වාසදායී සේවය- ඔබ කොතැන සිටියත් ඔබේ දැන්වීම පල කර ගැනීමේ හැකියාවඅප මගින් ඔබගේ දැන්වීම ඉතා ඉක්මණින් හා ගුණාත්මක භාවයෙන් යුතුව , සිංහල හෝ ඉංග්‍රිසි භාෂා වලින් පළ කර ගැනීමට අපව අමතන්න.Sanokma Mobile ( Viber / imo/ whatsapp )Ikman.lk බලය ලත් නියෝජිතඅපගේ විශ්වාසනීය බව තහවුරු කර ගැනීමට මෙම වෙබ් ලිපිනයෙන් පිවිසෙන්න.",Warehouse / Storage,"Herman State, Dodamgoda, Kalutara","1,000 sqft"
11,"Building with 3 Shops and a House - Bulathsinhala, Horana",24 Jul  2:24 pm,"Horana, Kalutara","12,500,000","Very urgent - For sale 3 shops & house in bulathsinhala town.බුලත්සිංහල නගර මධ්‍යයේ ප්‍රාදේශීය ලේකම් කාර්යාලය ඉදිරිපිට තෙමහල් ගොඩනැගිල්ලක් ඉතා ඉක්මනින් විකිණීමට ඇත. Nursing home එකකට වඩා සුදුසුයි.පර්. 14 යි.කඩ කාමර 3නිවස (නිදන කාමර 2, කුස්සිය, සාලය, bathrooms 2)පසුපස ඉඩම රු. 125 ලක්ෂ (මිල සාකච්ඡා කර ගත හැක)",Building,Bulathsinhala,"1,800 sqft"
12,Gym for Sale - Beruwala,18 Jul  1:20 pm,"Beruwala, Kalutara","3,500,000","The Equipment and Space is in Good ConditionThe Rent Will be taken monthly for the space.( Contact me for further details)And the amount displayed here is for the gym equipment.Feel Free to Come to Massala, Beruwala to check out the premises and equipment.",Other,"Massala, Beruwala","1,200 sqft"
13,Panadura 3 storied Building for sale,17 Jul  1:30 pm,"Panadura, Kalutara","50,000,000","3 storied, 3 dedicated parking,Separate entrance for each floor,2 wash rooms for each floor30M from Galle roadLooking for immediate sale.",Building,"Janapriya mw, Panadura","6,000 sqft"
14,Building for sale in Meegahathanna,17 Jul 12:33 pm,"Matugama, Kalutara","3,500,000",infront of the meegahathanna hospital.meegahathanna rohala idiripita.kada kamara 2k wikineemata.mila ganan katha karaganna puluwan.,Building,"2,500 sqft",
